Variable ID,Variable name,Variable synonyms,Trait name,Main trait abbreviation,Alternative trait abbreviations,Scale name,Trait description
CO_321:0001331,SawflyDmg_E_pct,CPYGM_pct,Sawfly damage,SawflyDmg,"CcincDmg, CPYGMDmg",%,"The plant damage caused by sawfly, Cephus cinctus."
CO_321:0001332,SGNDmg_E_pct,ATRITDMG _pct,Seed gall nematode damage,SGNDmg,AtritDmg,%,The wheat seed-gall nematode damage caused by Anguina tritici.
CO_321:0001333,SemoCol_M_bvalue,SEMOCOL_b_value,Semolina color,SemoCol,,b value,The semolina color.
CO_321:0001334,SemoProt_Kjl_pct,SEMOPROT _pct,Semolina protein content,SemoProt,,%,Protein content in durum wheat semolina.
CO_321:0001335,SemoProt_NIRS_pct,SEMOPROT _pct,Semolina protein content,SemoProt,,%,Protein content in durum wheat semolina.
CO_321:0001336,SemoYellPig_M_ppm,SEMOYELPIG_ppm,Semolina yellow pigment content,SemoYellPig,SEMOYELPIG,ppm,Semolina yellow pigment content due to the presence of xanthophyll and other related compounds.
CO_321:0001337,SepSPInc_E_pct,SEPSP_pct__INC,Septoria blotch incidence,SepSPInc,,%,Septoria blotch incidence in the plants caused by the agent Septoria species.
CO_321:0001338,SepSpLegacy_E_1to9,SEPSP_1_9,Septoria blotch legacy,SepSpLegacy,,1-9 disease scale,Septoria blotch incidence/severity/response in the plants caused by the agent Septoria species.
CO_321:0001339,SepSpLegacy_E_9to1,SEPSP_9_1,Septoria blotch legacy,SepSpLegacy,,9-1 disease scale,Septoria blotch incidence/severity/response in the plants caused by the agent Septoria species.
CO_321:0001340,SepSpResp_E_0to5,SEPSP_0_5__RESP,Septoria blotch plant response,SepSpResp,,0-5 Septoria Response scale,Septoria blotch response in the plants caused by the agent Septoria species.
CO_321:0001341,SepSpResp_E_1to5,SEPSP_1_5__RESP,Septoria blotch plant response,SepSpResp,,1-5 Septoria response scale,Septoria blotch response in the plants caused by the agent Septoria species.
CO_321:0001342,SepSpSev_E_00to99text,SEPSP_00_99text__SEV,Septoria blotch severity,SepSpSev,,Double digit (00-99) + text,Septoria blotch severity in the plants caused by the agent Septoria species.
CO_321:0001343,SepSpSev_E_0to9pcttext,SEPSP_0_9text__INC,Septoria blotch severity,SepSpSev,,0-9 percentage scale + text,Septoria blotch severity in the plants caused by the agent Septoria species.
CO_321:0001344,SepSpSev_E_00to99,SEPSP_00_99__SEV,Septoria blotch severity,SepSpSev,,Double digit (00-99),Septoria blotch severity in the plants caused by the agent Septoria species.
CO_321:0001345,SnodoInc_E_0to9pcttext,SNODO_0_9text__INC,Septoria nodorum blotch incidence,SnodoInc,,0-9 percentage scale + text,Septoria nodorum blotch incidence in the plants caused by the agent Stagonospora nodorum (syn. Septoria glume blotch) (Phaeosphaeria nodorum (E. Müller) Hedjaroude (syn. Stagonospora nodorum). 
CO_321:0001346,SnodoInc_E_pct,SNODO_pct__INC,Septoria nodorum blotch incidence,SnodoInc,,%,Septoria nodorum blotch incidence in the plants caused by the agent Stagonospora nodorum (syn. Septoria glume blotch) (Phaeosphaeria nodorum (E. Müller) Hedjaroude (syn. Stagonospora nodorum). 
CO_321:0001347,SnodoLegacy_E_1to9,SNODO_1_9,Septoria nodorum blotch legacy,SnodoLegacy,,1-9 disease scale,Septoria nodorum blotch incidence/severity/response in the plants caused by the agent Stagonospora nodorum (syn. Septoria glume blotch) (Phaeosphaeria nodorum (E. Müller) Hedjaroude (syn. Stagonospora nodorum). 
CO_321:0001348,SnodoLegacy_E_9to1,SNODO_9_1,Septoria nodorum blotch legacy,SnodoLegacy,,9-1 disease scale,Septoria nodorum blotch incidence/severity/response in the plants caused by the agent Stagonospora nodorum (syn. Septoria glume blotch) (Phaeosphaeria nodorum (E. Müller) Hedjaroude (syn. Stagonospora nodorum).
CO_321:0001349,SnodoSev_E_00to99+text,SNODO_00_99__SEV,Septoria nodorum blotch severity,SnodoSev,,Double digit (00-99),Septoria nodorum blotch severity in the plants caused by the agent Stagonospora nodorum (syn. Septoria glume blotch) (Phaeosphaeria nodorum (E. Müller) Hedjaroude (syn. Stagonospora nodorum). 
CO_321:0001350,StritInc_E_0to9pcttext,STRIT_0_9text__INC,Septoria tritici blotch incidence,StritInc,STRIT,0-9 percentage scale + text,Septoria tritici blotch incidence in the plants caused by the agent Mycosphaerella graminicola (Septoria tritici). symptoms: the lesions are linear and restricted laterally.
CO_321:0001351,StritInc_E_pct,STRIT_pct__INC,Septoria tritici blotch incidence,StritInc,STRIT,%,Septoria tritici blotch incidence in the plants caused by the agent Mycosphaerella graminicola (Septoria tritici). symptoms: the lesions are linear and restricted laterally.
CO_321:0001352,StritLegacy_E_1to9,STRIT_1_9,Septoria tritici blotch legacy,StritLegacy,STRIT,1-9 disease scale,Septoria tritici blotch incidence/severity/response in the plants caused by the agent Mycosphaerella graminicola (Septoria tritici). symptoms: the lesions are linear and restricted laterally.
CO_321:0001353,StritLegacy_E_9to1,STRIT_9_1,Septoria tritici blotch legacy,StritLegacy,STRIT,9-1 disease scale,Septoria tritici blotch incidence/severity/response in the plants caused by the agent Mycosphaerella graminicola (Septoria tritici). symptoms: the lesions are linear and restricted laterally.
CO_321:0001354,StritResp_E_0to5,STRIT_0_5__RESP,Septoria tritici blotch plant response,StritResp,STRIT,0-5 Septoria Response scale,Septoria tritici blotch response in the plants caused by the agent Mycosphaerella graminicola (Septoria tritici). symptoms: the lesions are linear and restricted laterally.
CO_321:0001355,StritSev_E_00to99text,STRIT_00_99text__SEV,Septoria tritici blotch severity,StritSev,STRIT,Double digit (00-99) + text,Septoria tritici blotch severity in the plants caused by the agent Mycosphaerella graminicola (Septoria tritici). symptoms: the lesions are linear and restricted laterally.
CO_321:0001356,StritSev_E_00to99,STRIT_00_99__SEV,Septoria tritici blotch severity,StritSev,STRIT,Double digit (00-99),Septoria tritici blotch severity in the plants caused by the agent Mycosphaerella graminicola (Septoria tritici). symptoms: the lesions are linear and restricted laterally.
CO_321:0001357,RcereInc_E_0to9,RCERE_0_9,Sharp eyespot incidence,RcereInc,RCERE,0-9 RCERE scale,Sharp eyespot incidence in the plants caused by the agent Rhizoctonia cerealis. 
CO_321:0001358,SnailDmg_E_pct,SNAILDMG_pct,Snail damage,SnailDmg,,%,The plant damage caused by snails.
CO_321:0001359,SBMVInc_E_0to9pct,SBMV_0_9,Soil borne mosaic incidence,SBMVInc,SBMV,0-9 percentage scale,Soil borne mosaic incidence in the plants caused by the agent soilborne wheat mosaic virus (sbwmv) which is vectored by Plasmodiophorid polymyxa graminis. 
CO_321:0001360,SrolfResp_E_1to8,SROLF_1_8,Southern blight plant response,SrolfResp,,1-8 generic disease field response scale,Southern blight response in the plants caused by the agent Corticum rolfsii (Sclerotium rolfsii).
CO_321:0001361,Awns_E_0to9,AWNS_0_9,Spike awnedness,Awns,,0-9 AWNS scale,Observation of awn type whether awnless/awnletted (short awns)/awned (conspicious awns).
CO_321:0001362,SpkDen_E_1to9,SPKDEN_1_9,Spike density,SpkDen,,1-9 SPKDEN scale,Density or compactness of a wheat spike.
CO_321:0001363,SpkDis_E_1to5,"SPKDIS_1_5, SpkDis_N_T_S_M_V",Spike disease development,SpkDis,,1-5 DMG scale,The plant damage caused by spike diseases.
CO_321:0001364,SpkLng_M_cm,SPKLNG_cm,Spike length,SpkLng,,cm,Length of spike.
CO_321:0001366,SN_M_Spksm,SNO_spk_m,Spike number,SN,"SNO, SpkNO, SpkNo",spike/m,"Number of spikes (fertile culms) per unit area, sample or plant."
CO_321:0001367,Shattering_E_pct,SHATTERING_pct,Spike shattering,Shattering,Rachis brittleness,%,Observation of grains dehiscence from spike at maturity.
CO_321:0001368,Threshblty_E_1to9,THRESHBLTY_1_9,Spike threshability,Threshblty,,1-9 general scale,Threshability (ease to thresh) is a score where several spike-related traits such as rachis fragility (brittle or non-brittle rachis) and glume tenacity (hulled or free-threshing).
CO_321:0001369,SplN_Ct_SplSpk,"SPLSPK_num, SPLSPK, spikelets/spike",Spikelet number,SplN,SplNo,spikelet/spike,Number of spikelets per spike.
CO_321:0001370,HsatiLInc_E_0to9pcttext,HSATIL_0_9text__INC,Spot blotch incidence,HsatiLInc,HSATIL,0-9 percentage scale + text,Spot blotch incidence in the plants caused by the agent Cochliobolus sativus (helminthosporium sativum). 
CO_321:0001371,HsatiLInc_E_pct,HSATIL_pct__INC,Spot blotch incidence,HsatiLInc,HSATIL,%,Spot blotch incidence in the plants caused by the agent Cochliobolus sativus (helminthosporium sativum). 
CO_321:0001372,HsatiLLegacy_E_1to9,HSATIL_1_9,Spot blotch legacy,HsatiLLegacy,HSATIL,1-9 disease scale,Spot blotch incidence/severity/response in the plants caused by the agent Cochliobolus sativus (helminthosporium sativum). 
CO_321:0001373,HsatiLLegacy_E_9to1,HSATIL_9_1,Spot blotch legacy,HsatiLLegacy,HSATIL,9-1 disease scale,Spot blotch incidence/severity/response in the plants caused by the agent Cochliobolus sativus (helminthosporium sativum). 
CO_321:0001374,HsatiLSev_E_00to99text,HSATIL_00_99text__SEV,Spot blotch severity,HsatiLSev,HSATIL,Double digit (00-99) + text,Spot blotch severity in the plants caused by the agent Cochliobolus sativus (helminthosporium sativum). 
CO_321:0001375,HsatiLSev_E_00to99,HSATIL_00_99__SEV,Spot blotch severity,HsatiLSev,HSATIL,Double digit (00-99),Spot blotch severity in the plants caused by the agent Cochliobolus sativus (helminthosporium sativum). 
CO_321:0001376,SproutTol_E_1to9,SPROUTTOL _1_9,Sprouting tolerance,SproutTol,,1-9 TOL scale,Tolerance of grain to sprout when in the spike.
CO_321:0001377,StmDia_M_mm,STMDIA_mm,Stem diameter,StmDia,STMDIA,mm,Stem outer diameter.
CO_321:0001378,StmLng_M_cm,STMLNG_cm,Stem length,StmLng,,cm,Length of stem.
CO_321:0001379,PgramCI_Calc_pct,PGRAM_pct__CI,Stem rust coefficient of infection,PgramCI,,%,Stem rust (black rust) incidence/severity/response in the plants caused by the agent Puccinia graminis f.sp. tritici. 
CO_321:0001380,PgramNote_E_text,PGRAM_text,Stem rust notes,PgramNote,,text,Stem rust (black rust) incidence/severity/response in the plants caused by the agent Puccinia graminis f.sp. tritici. 
CO_321:0001381,PgramResp_E_1to8,PGRAM_1_8__ADLTRESP,Stem rust plant response,PgramResp,PGRAM,1-8 rust field response scale,Stem rust (black rust) response in the plants caused by the agent Puccinia graminis f.sp. tritici. 
CO_321:0001382,PgramSdlgResp_E_0to8,PGRAM_0_8__SEEDRESP,Stem rust seedling response,PgramSdlgResp,PGRAM,0-8 Rust infection type,Stem rust (black rust) response in the plants caused by the agent Puccinia graminis f.sp. tritici. 
CO_321:0001383,PgramSev_E_pct,PGRAM_pct__SEV,Stem rust severity,PgramSev,PGRAM,%,Stem rust (black rust) severity in the plants caused by the agent Puccinia graminis f.sp. tritici. 
CO_321:0001384,PgramSev_E_0to12,PGRAM_0_12__SEV,Stem rust severity,PgramSev,PGRAM,0-12 Modified Cobb Scale,Stem rust (black rust) severity in the plants caused by the agent Puccinia graminis f.sp. tritici. 
CO_321:0001385,StmSol_E_1to3,STMSOL_1_3,Stem solidness,StmSol,,1-3 STMSOL scale,Solidness of stem.
CO_321:0001386,StmStrength_E_1to9,STMSTRENGTH_1_9,Stem strength,StmStrength,,1-9 general scale,Strength of the culm.
CO_321:0001387,StmWallThk_M_um,STMTHK_um,Stem wall thickness,StmWallThk,STMTHK,µm,Stem wall thickness.
CO_321:0001388,StmWSC_M_pct,STEMWSC_pct,Stem water soluble carbohydrate concentration,StmWSC,"STEMWSC, WSC, ",%,"Water soluble carbohydrates accumulate up to and around anthesis and are partitioned to the stem, from where they are later available as a reservoir for remobilization to the developing grains. These reserves are an important source of carbon for grain filling."
CO_321:0001389,SpkSterility_E_0to6,STERIND_0_6,Spike sterility index,SpkSterility,SterInd,0-6 Sterility scale,Spike sterility observed as infertile florets.
CO_321:0001390,SpkSterility_Calc_pct,STERIND_pct,Spike sterility index,SpkSterility,SterInd,%,Spike sterility observed as infertile florets.
CO_321:0001391,PstriCI_Calc_pct,PSTRI_pct__CI,Stripe rust coefficient of infection,PstriCI,"YRustCI, YRCI, PSTRIL",%,Stripe rust (yellow rust) incidence/severity/response in the plants caused by the agent Puccinia striiformis f.sp. tritici. 
CO_321:0001392,PstriInc_E_1to9,PSTRI_1_9,Stripe rust incidence,PstriInc,"YRustInc, YRInc, PSTRIL",1-9 incidence scale,Stripe rust (yellow rust) incidence in the plants caused by the agent Puccinia striiformis f.sp. tritici. 
CO_321:0001393,PstriNote_E_text,PSTRI_text,Stripe rust notes,PstriNote,"YRustNote, YRNote, PSTRIL",text,Stripe rust (yellow rust) incidence/severity/response in the plants caused by the agent Puccinia striiformis f.sp. tritici. 
CO_321:0001394,PstriResp_E_0to9,PSTRI_0_9__RESP,Stripe rust plant response,PstriResp,"YRustResp, YRResp, PSTRIL",0-9 Mc Neal scale,Stripe rust (yellow rust) response in the plants caused by the agent Puccinia striiformis f.sp. tritici. 
CO_321:0001395,PstriResp_E_1to8,PSTRI_1_8__ADLTRESP,Stripe rust plant response,PstriResp,"YRustResp, YRResp, PSTRIL",1-8 rust field response scale,Stripe rust (yellow rust) response in the plants caused by the agent Puccinia striiformis f.sp. tritici. 
CO_321:0001396,PstriSev_E_pct,PSTRI_pct__SEV,Stripe rust severity,PstriSev,"YRustSev, YRSev, PSTRIL",%,Stripe rust (yellow rust) severity in the plants caused by the agent Puccinia striiformis f.sp. tritici. 
CO_321:0001397,PstriSev_E_0to12,PSTRI_0_12__SEV,Stripe rust severity,PstriSev,"YRustSev, YRSev, PSTRIL",0-12 Modified Cobb Scale,Stripe rust (yellow rust) severity in the plants caused by the agent Puccinia striiformis f.sp. tritici. 
CO_321:0001398,PstriSpkSev_E_pct,PSTRI_pct__SPKSEV,Stripe rust spike severity,PstriSpkSev,"YRustSpkSev, YRSpkSev, PSTRIL",%,Stripe rust (yellow rust) severity in the plants caused by the agent Puccinia striiformis f.sp. tritici. 
CO_321:0001399,SuPDmg_E_1to5,SUPDMG _1_5,Suni pest damage,SuPDmg,,1-5 DMG scale,"The plant damage caused by suni pest (Eurygaster spp., sunn pest, suni bug)."
CO_321:0001400,GgtriInc_E_pct,GGTRI_pct__INC,Take all incidence,GgtriInc,GGTRI,%,Take-all incidence in the plants caused by the agent Gaeumannomyces graminis var. tritici (ggt).
CO_321:0001401,GgtriInc_E_1to5,GGTRI_1_5_INC,Take all incidence,GgtriInc,GGTRI,1-5 DMG scale,Take-all incidence in the plants caused by the agent Gaeumannomyces graminis var. tritici (ggt).
CO_321:0001402,TanSpotInc_E_0to9pcttext,TANSPOT_0_9text,Tan spot incidence,TanSpotInc,,0-9 percentage scale + text,"Tan spot (Pyrenophora yellow leaf blotch, yellow spot) incidence in the plants caused by the agent Pyrenophora tritici-repentis (helminthosporium tritici-repentis). Symptoms: the lesions appear as tan to brown flecks, which expand into large, irregular, oval- or lens-shaped tan blotches with a yellow or chlorotic margin."
CO_321:0001403,TanSpotInc_E_pct,TANSPOT_pct,Tan spot incidence,TanSpotInc,,%,"Tan spot (Pyrenophora yellow leaf blotch, yellow spot) incidence in the plants caused by the agent Pyrenophora tritici-repentis (helminthosporium tritici-repentis). Symptoms: the lesions appear as tan to brown flecks, which expand into large, irregular, oval- or lens-shaped tan blotches with a yellow or chlorotic margin."
CO_321:0001404,TanSpotResp_E_1to5,TANSPOT_1_5__ADLTRESP,Tan spot plant response,TanSpotResp,,1-5 TANSPOT field response scale ,"Tan spot (Pyrenophora yellow leaf blotch, yellow spot) response in the plants caused by the agent Pyrenophora tritici-repentis (helminthosporium tritici-repentis). Symptoms: the lesions appear as tan to brown flecks, which expand into large, irregular, oval- or lens-shaped tan blotches with a yellow or chlorotic margin."
CO_321:0001405,TanSpotSdlgResp_E_0to5,TANSPOT_0_5__SEEDRESP,Tan spot seedling response,TanSpotSdlgResp,,0-5 TANSPOT field response scale ,"Tan spot (Pyrenophora yellow leaf blotch, yellow spot) response in the plants caused by the agent Pyrenophora tritici-repentis (helminthosporium tritici-repentis). Symptoms: the lesions appear as tan to brown flecks, which expand into large, irregular, oval- or lens-shaped tan blotches with a yellow or chlorotic margin."
CO_321:0001406,TanSpotSev_E_00to99text,TANSPOT_00_99text__SEV,Tan spot severity,TanSpotSev,,Double digit (00-99) + text,"Tan spot (Pyrenophora yellow leaf blotch, yellow spot) severity in the plants caused by the agent Pyrenophora tritici-repentis (helminthosporium tritici-repentis). Symptoms: the lesions appear as tan to brown flecks, which expand into large, irregular, oval- or lens-shaped tan blotches with a yellow or chlorotic margin."
CO_321:0001407,TanSpotSev_E_00to99,TANSPOT_00_99__SEV,Tan spot severity,TanSpotSev,,Double digit (00-99),"Tan spot (Pyrenophora yellow leaf blotch, yellow spot) severity in the plants caused by the agent Pyrenophora tritici-repentis (helminthosporium tritici-repentis). Symptoms: the lesions appear as tan to brown flecks, which expand into large, irregular, oval- or lens-shaped tan blotches with a yellow or chlorotic margin."
CO_321:0001408,TSpl_date_ymd,"TSD_yyyymmdd, TSD",Terminal spikelet time,TSpl,TS,yyyymmdd,"Terminal spikelet time is when the last spikelet, the terminal spikelet, has been produced."
CO_321:0001409,TSpl_dto_day,"DTTS_days, DTTS",Terminal spikelet time,TSpl,TS,day,"Terminal spikelet time is when the last spikelet, the terminal spikelet, has been produced."
CO_321:0001410,TN_Ct_Tllrm,TNO_tll_m,Tiller number,TN,"TllNo, TNO",tiller/m,"Number of total tillers (fertile and infertile) per unit area, sample or plant."
CO_321:0001412,TN_Ct_TllrPlnt,TNO_tll_pl,Tiller number,TN,"TllNo, TNO",tiller/plant,"Number of total tillers (fertile and infertile) per unit area, sample or plant."
CO_321:0001413,TllrCapacity_E_1to5,TllrCAPACITY_1_5,Tillering capacity,TllrCapacity,,1-5 scoring scale,An tillering capacity.
CO_321:0001414,TlaevInc_E_pct,TLAEV_pct__INC,Tilletia laevis bunt incidence,TlaevInc,"TLAEV, CB",%,"Bunt incidence in the plants caused by the agent Tilletia laevis (stinking bunt, covered smut, hill bunt, complete bunt, low bunt, high bunt). "
CO_321:0001415,TtritInc_E_pct,TTRIT _pct__INC,Tilletia tritici bunt incidence,TtritInc,"TTRIT, CB",%,"Bunt incidence in the plants caused by the agent Tilletia tritici (stinking bunt, covered smut, hill bunt, complete bunt, low bunt, high bunt). "
CO_321:0001416,T1BL1RS_M_0to1,T1BL1RS_0_1,Translocation 1BL/1RS ,T1BL1RS,1BL1RS,0-1 absent-present,The 1bl/1rs translocation in wheat resulted from replacing the short arm of the chromosome 1b of wheat by the short arm of the chromosome 1r of rye (Secale cereale l.).
CO_321:0001417,WtrLoggDmg_E_0to9,H2ODMG _0_9,Waterlogging damage,WtrLoggDmg,H2ODMG ,0-9 DAMAGE scale,Plants killed as a result of winter conditions. 
CO_321:0001418,WMFlrCol_M_avalue,WMFLRCOL_a_value,Whole meal flour color,WMFlrCol,,a value,The whole meal flour color.
CO_321:0001419,WMFlrCol_M_bvalue,WMFLRCOL_b_value,Whole meal flour color,WMFlrCol,,b value,The whole meal flour color.
CO_321:0001420,WMFlrCol_M_Lvalue,WMFLRCOL_L_value,Whole meal flour color,WMFlrCol,,L value,The whole meal flour color.
CO_321:0001421,WMFlrFN_M_s,WMFLRFN_s,Whole meal flour falling number,WMFlrFN,,s,"Indication of the amount of sprout damage that has occurred within a wheat sample. falling number value of 350 seconds or longer indicates a low enzyme activity and very sound wheat quality. as the amount of enzyme activity increases, the falling number decreases. Values below 200 seconds indicate high levels of enzyme activity."
CO_321:0001422,WMFlrSDS_M_ml,WMFLRSDS_ml,Whole meal flour SDS sedimentation,WMFlrSDS,,ml,"Testing of whole-meal flour quality by SDS-sedimentation, a test estimating gluten-protein overall quality."
CO_321:0001423,WMFlrYellPig_M_ppm,WMFLRYELPIG_ppm,Whole meal flour yellow pigment content,WMFlrYellPig,WMFLRYELPIG,ppm,Whole meal flour yellow pigment content due to the presence of xanthophyll and other related compounds.
CO_321:0001424,WKill_E_0to9,WKILL_0_9,Winter kill damage,WKill,,0-9 DAMAGE scale,Plants killed as a result of winter conditions. 
CO_321:0001425,WKill_E_pct,WKILL_pct,Winter kill damage,WKill,,%,Plants killed as a result of winter conditions. 
CO_321:0001426,WKill_E_1to5,WKILL_1_5,Winter kill damage,WKill,,1-5 DMG scale,Plants killed as a result of winter conditions. 
CO_321:0001427,WormDmg_E_pct,WORMDMG_pct,Worm damage,WormDmg,,%,The plant damage caused by worms.
CO_321:0001438,BLBSev_E_pct,,Bacterial leaf blight severity,BLBSev,PsyriSev,%,"Wheat bacterial leaf blight severity in the plants caused by the agent Pseudomonas syringae pv. syringae. symptoms: small (less than 0.04 inches) water-soaked lesions expand and eventually coalesce. initial lesions become necrotic and turn from gray-green to tan-white. Entire leaves may become necrotic, but heads and glumes are typically symptomless."
CO_321:0001439,RsecaSev_E_pct,,Barley scald severity,RsecaSev,RSECA,%,Barley scald severity in the plants caused by the agent Rhynchosporium secalis. 
CO_321:0001440,FgramSev_E_pct,,Fusarium graminearum severity,FgramSev,FGRAML,%,Fusarium graminearum severity in the plants.
CO_321:0001441,FnivLBSev_E_pct,,Fusarium leaf blotch severity,FnivLBSev,,%,"Fusarium leaf blotch (pink snow mold, fusarium patch) severity in the plants caused by the agent Calonectria nivalis (fusarium nivale)."
CO_321:0001442,HelSpSev_E_pct,,Helminthosporium species severity,HelSpSev,,%,The disease severity in the plants caused by the agent Helminthosporium species.
CO_321:0001443,HtereSev_E_pct,,Net blotch severity,HtereSev,,%,Net blotch severity in the plants caused by the agent Pyrenophora teres (Helminthosporium teres).
CO_321:0001444,EgramSev_E_pct,,Powdery mildew severity,EgramSev,EGRAM,%,Powdery mildew severity in the plants caused by the agent Blumeria graminis (Erysiphe graminis) f. sp. tritici.
CO_321:0001445,SepSpSev_E_pct,,Septoria blotch severity,SepSpSev,,%,Septoria blotch severity in the plants caused by the agent Septoria species.
CO_321:0001446,SnodoSev_E_pct,,Septoria nodorum blotch severity,SnodoSev,,%,Septoria nodorum blotch severity in the plants caused by the agent Stagonospora nodorum (syn. Septoria glume blotch) (Phaeosphaeria nodorum (E. Müller) Hedjaroude (syn. Stagonospora nodorum). 
CO_321:0001447,StritSev_E_pct,,Septoria tritici blotch severity,StritSev,STRIT,%,Septoria tritici blotch severity in the plants caused by the agent Mycosphaerella graminicola (Septoria tritici). symptoms: the lesions are linear and restricted laterally.
CO_321:0001448,HsatiLSev_E_pct,,Spot blotch severity,HsatiLSev,HSATIL,%,Spot blotch severity in the plants caused by the agent Cochliobolus sativus (Helminthosporium sativum). 
CO_321:0001449,TanSpotSev_E_pct,,Tan spot severity,TanSpotSev,,%,"Tan spot (Pyrenophora yellow leaf blotch, yellow spot) severity in the plants caused by the agent Pyrenophora tritici-repentis (Helminthosporium tritici-repentis). Symptoms: the lesions appear as tan to brown flecks, which expand into large, irregular, oval- or lens-shaped tan blotches with a yellow or chlorotic margin."
CO_321:0001450,MgrisSev_E_pct,,Wheat blast severity ,MgrisSev,,%,"Wheat blast severity in the spikes caused by the agent Magnaporthe grisea (Pyricularia oryzae). Symptoms: It can infect all above-ground parts of the wheat plant, but head blast, resembling Fusarium head blight in appearance, is the most common symptom in the field. Infected spikes become bleached and produce small shriveled seed or none at all."
CO_321:0001451,ForgDM_E_pct,,Forage dry matter ,ForgDM,,%,Forage dry matter. 
CO_321:0001452,Wsurv_E_pct,,Winter survival,Wsurv,,%,"Ability to survive or withstand cold temperatures in the late fall, winter, or early spring."
CO_321:0001453,AwnCol_E_1to6,,Awn color,AwnCol,,1-6 COLOR scale,Awn color.
CO_321:0001454,GNDVI_M_Idx,GNDVI_index,Canopy green normalized difference vegetation index,GNDVI,,index,Normalized difference vegetation index is used to measure vegetative greenness and canopy photosynthetic size.
CO_321:0001455,RNDVI_M_Idx,RNDVI_index,Canopy red normalized difference vegetation index,RNDVI,,index,Normalized difference vegetation index is used to measure vegetative greenness and canopy photosynthetic size.
CO_321:0001456,GAmyloPec_M_pct,,Grain amylopectin content,GAmyloPec,,%,Content of amylopectin in grain.
CO_321:0001457,GLys_M_pct,,Grain lysine content,GLys,,%,Lysine content of the kernel/grain.
CO_321:0001458,RachLng_M_mm,,Rachis length,RachLng,,mm,Length of rachis.
CO_321:0001459,SpkTyp_E_1to6,,Spike type,SpkTyp,,1-6 SPKTYPE scale,Shape characteristics of typical mature spikes.
CO_321:0001461,StmCol_E_1to6,,Stem color,StmCol,,1-6 COLOR scale,Color of the stems.
CO_321:0001462,StrawBreak_E_1to9,,Straw breakage,StrawBreak,,1-9 STRAWBREAK scale,Amount of straw breakage.
CO_321:0001463,StrawCol_E_1to6,,Straw color,StrawCol,,1-6 COLOR scale,Color of straw.
CO_321:0001464,StrawStn_E_1to3,,Straw strength,StrawStn,,1-3 STRAWStrength,Strength of straw.
CO_321:0001465,StrawYld_E_tha,,Straw yield,StrawYld,,t/ha,Amount (weight) of straw.
CO_321:0001466,WMFlrAsh_E_pct,,Whole meal flour ash content,WMFlrAsh,,%,Ash content in flour.
CO_321:0001467,GLng_M_mm,,Grain length,GLng,kernel length,mm,Length of whole grain.
CO_321:0001468,GWid_M_mm,,Grain width,GWid,kernel width,mm,Width of whole grain.
CO_321:0001469,GThk_M_mm,,Grain thickness,GThk,kernel thickeness,mm,Thickness of whole grain.
CO_321:0001470,GSize_ScreenCount1_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001471,GSize_ScreenCount2_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001472,GSize_ScreenCount3_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001473,GSize_ScreenCount4_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001474,GSize_ScreenCount5_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001475,GSize_ScreenCount6_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001476,GSize_ScreenMass1_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001477,GSize_ScreenMass2_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001478,GSize_ScreenMass3_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001479,GSize_ScreenMass4_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001480,GSize_ScreenMass5_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001481,GSize_ScreenMass6_pct,,Grain size,GSize,"GSiz, Ksize, GrnSize",%,Grain size.
CO_321:0001482,AnthExt_E_pct,,Anther extrusion,AnthExt,,%,Extrusion of anthers.
CO_321:0001483,AnthExt_E_0to9,,Anther extrusion,AnthExt,,0-9 AnthExt,Extrusion of anthers.
CO_321:0001595,InfertSpkN_Ct_SplSpk,,Infertile spike number,InfertSpkN,InflSPKLSP,spikelet/spike,Number of infertile spikelet per spike.
CO_321:0001597,CGR_Calc_gm2day,,Crop growth rate ,CGR,CGR,g/m2/day,It is the rate of dry matter production per unit area.
CO_321:0001600,GYPR_Calc_gm2day,,Grain yield production rate,GYPR,,g/m2/day,Grain yield production rate.
CO_321:0001601,BMPR_Calc_gm2day,,Biomass production rate,BMPR,,g/m2/day,Biomass production rate.
CO_321:0001602,TTTS_Calc_Cday,,Terminal spikelet thermal time,TTTS,,°C day,Thermal Time from emergence to Terminal Spikelet (GS30).
CO_321:0001604,TTB_Calc_Cday,,Booting thermal time,TTB,,°C day,Thermal Time from emergence  to Booting  (GS45).
